HOLE:	995B
LEG:	164
TOP:	115.823997
BOTTOM:	663.092407
DEPTH_WMSF	SGR	CGR	THOR	URAN	POTA	W1NG	W2NG	W3NG	W4NG	W5NG
m	gAPI	gAPI	ppm	ppm	%	cps	cps	cps	cps	cps
147.6756	61.4435	32.0371	3.7806	3.3221	1.1184	114.9440	45.0932	15.0308	3.5365	3.5366
147.8280	61.6724	31.5459	3.6935	3.4035	1.1071	138.6922	51.2364	13.2509	0.8835	1.7667
147.9804	62.7249	32.2181	3.9425	3.4464	1.0970	132.7207	45.0750	13.3560	2.5042	0.8347
148.1328	61.2056	31.3670	4.0340	3.3709	1.0293	124.6686	43.3249	19.4513	3.5365	0.8842
148.2852	61.4170	32.1396	4.2266	3.3075	1.0362	127.7134	50.0831	10.8517	0.8348	1.6695
148.4376	59.9309	32.0728	4.1189	3.1472	1.0537	136.8037	44.1309	15.0041	1.7653	1.7652
148.5900	59.3582	32.1722	3.9532	3.0713	1.0922	116.7646	49.2076	10.0083	3.3361	1.6680
148.7424	56.5778	30.3666	3.7356	2.9611	1.0300	127.3207	48.6287	9.7259	2.6526	0.8842
148.8948	57.9246	30.2468	3.8522	3.1268	1.0000	122.7918	35.3367	9.7174	3.5334	1.7668
149.0472	60.0761	30.5169	4.0413	3.3394	0.9784	127.6071	52.5433	10.8426	0.0003	2.5020
149.1996	61.8603	29.9306	3.9773	3.6072	0.9569	140.5826	45.0925	15.0311	4.4207	0.8843
149.3520	64.8684	29.4215	3.9512	4.0045	0.9324	124.5600	38.8699	17.6674	1.7668	3.5335
149.5044	61.3315	27.3302	3.7252	3.8412	0.8553	152.2103	49.5567	10.6195	1.7700	2.6549
149.6568	61.3018	27.5257	3.8374	3.8158	0.8445	117.4913	36.2196	11.4842	3.5335	2.6502
149.8092	58.7346	27.2395	3.8138	3.5581	0.8325	120.2484	44.2085	13.2627	2.6525	3.5366
149.9616	59.9760	27.9054	3.9664	3.6231	0.8411	133.3324	40.8337	14.9999	2.5000	1.6667
150.1140	57.3458	27.1058	3.9217	3.4163	0.8034	118.2694	46.7782	14.1216	2.6477	1.7651
150.2664	54.8950	27.3588	3.9777	3.1108	0.8070	106.7967	42.3650	10.5915	0.8828	0.0003
150.4188	54.2754	28.3804	4.0569	2.9254	0.8509	116.8144	36.2835	12.3894	4.4249	4.4246
150.5712	56.9494	29.3050	4.1088	3.1231	0.8945	120.3541	40.7081	12.3896	6.1946	1.7699
150.7236	60.2881	30.2368	4.1990	3.3950	0.9309	122.0169	42.4407	16.7989	5.3049	0.8843
150.8760	61.4781	29.5803	4.1530	3.6036	0.9017	138.5635	49.2487	10.8514	3.3390	2.5041
151.0284	62.3687	29.3937	4.1189	3.7253	0.8976	125.4416	48.5866	10.6011	4.4167	1.7668
151.1808	60.2964	27.8114	3.9197	3.6699	0.8448	124.2697	48.3739	16.6803	0.8340	2.5020
151.3332	59.4052	27.1696	3.7687	3.6417	0.8373	115.0006	53.3326	11.6667	0.8334	1.6666
151.4856	56.7485	26.4059	3.5906	3.4279	0.8280	125.5523	40.6713	11.4944	1.7684	0.8843
