HOLE:	995B
LEG:	164
TOP:	150.876007
BOTTOM:	658.977600
DEPTH_WMSF	CALI
m	in
350.5200	16.7754
350.6724	16.7886
350.8248	16.3249
350.9772	16.1439
351.1296	16.3806
351.2820	16.6230
351.4344	15.0779
351.5868	14.2705
351.7392	14.4535
351.8916	14.1529
352.0440	14.9278
352.1964	15.1532
352.3488	14.6742
352.5012	14.3728
352.6536	14.6786
352.8060	14.7075
352.9584	15.4507
353.1108	15.8459
353.2632	14.6754
353.4156	14.6813
353.5680	14.5434
353.7204	14.7866
353.8728	15.3052
354.0252	15.3287
354.1776	16.4478
354.3300	15.1431
354.4824	14.1915
354.6348	14.5824
354.7872	15.0058
354.9396	16.6008
355.0920	17.6063
355.2444	16.1914
355.3968	12.0714
355.5492	12.3499
355.7016	13.5656
355.8540	14.2760
356.0064	14.5714
356.1588	15.0588
356.3112	15.9542
356.4636	16.3343
356.6160	17.5953
356.7684	16.1044
356.9208	15.6294
357.0732	15.6324
357.2256	15.8720
357.3780	15.6154
357.5304	16.4706
357.6828	16.4988
357.8352	16.5243
